UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,SUBTAGS,COMMENTS
a9344e0d-041f-4495-982a-c7d44f67c18a,Ποσειδώνιος δ’ ὁ Στωϊκὸς,char-offset:899,PERSON,,,,,,,,,
f0167a73-bc80-4c6a-868d-203f6c159263,Ἰνδικήν,char-offset:1046,PLACE,http://pleiades.stoa.org/places/50004,India,22.5,77.5,region,VERIFIED,region,,
c369adad-c008-4cb8-9387-1341c139a1b8,Ὅροι,char-offset:1057,PLACE,,,,,,UNVERIFIED,concept,,
5c2b8c42-8d0a-4e9a-8dc5-0c6dcff5b2a7,ἠπείρων,char-offset:1062,PLACE,,,,,,UNVERIFIED,concept|continent,,
81f335e8-5831-4f57-9373-5e3f0f2d3c1f,Εὐρώπης,char-offset:1071,PLACE,http://pleiades.stoa.org/places/536074,Europe,,,unlocated,VERIFIED,concept|continent,,"#documentation: despite the fact that Europe, Asia and Libya are more geographical concepts than entities, I am georeferencing them with preference to locations that are identified as polygons, just to give a sense of spatial extension. this coud then be redesigned in modelling processes by identifying the boundaries as they appear in the sources."
84fb5a8d-689f-4de5-96b2-ca270578f48f,Λιβύης,char-offset:1087,PLACE,http://pleiades.stoa.org/places/716588,Libya,31.5,26.5,region,VERIFIED,concept|continent,,
0db618dc-233a-44d7-9f97-aefb50012827,Ἡρακλέους στῆλαι,char-offset:1097,PLACE,http://pleiades.stoa.org/places/275614,Columnae Herculis,35.9358335,-5.384583,cape,VERIFIED,,,
7ed84aa7-37d4-4043-93ae-c30a5d522827,Ἡρακλέους,char-offset:1097,PERSON,,,,,,,,,
6a37988a-f95d-476b-9425-ce9e57d0b7ae,Λιβύης,char-offset:1115,PLACE,http://pleiades.stoa.org/places/716588,Libya,31.5,26.5,region,VERIFIED,concept|continent,,
38ecc735-0483-4000-8102-0d945e245b86,Ἀσίας,char-offset:1129,PLACE,http://pleiades.stoa.org/places/981509,Asia,37.5,27.5,province,VERIFIED,concept|continent,,
c84d453b-e94b-40db-b784-95049d39d9de,Νεῖλος,char-offset:1137,PLACE,http://pleiades.stoa.org/places/727172,Nilus (river),19.211408766666665,30.567329633333333,river,VERIFIED,natural feature|water mass|river,,
8337c20b-55e9-48eb-bf26-47fca89227a3,ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης,char-offset:1151,PLACE,,,,,,UNVERIFIED,natural feature|isthmus,,identification by relative location.
0658b716-1b14-4972-b905-a6178d9346d8,ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης,char-offset:1151,EVENT,,,,,,,position,relative,
07ea33cf-6098-403f-9618-692167aee664,Σερβωνίδος,char-offset:1166,PLACE,http://pleiades.stoa.org/places/688025,Serbonitis L.,31.25,33.25,lake,VERIFIED,natural feature|water mass|lake,,"#documentation: when in presence of a placename + category, i am georeferencing the placename only, unless it is a case when the category is necessary for the identification of the name as a place.|#documentation: when assigning categories to placenames explicitly referenced in a way, I am using that category despite of modern classifications."
7f9524ba-1fd8-430b-bb7b-d6f9a14b4af8,"Ἀραβίου
κόλπου",char-offset:1188,PLACE,http://pleiades.stoa.org/places/39290,Arabicus Sinus/Erythr(ae)um/Rubrum Mare,19.0,39.5,water-open,VERIFIED,natural feature|water mass|gulf,,
9a1bb341-1331-4695-94f2-650ed919faf7,Ἀσίας,char-offset:1204,PLACE,http://pleiades.stoa.org/places/981509,Asia,37.5,27.5,province,VERIFIED,concept|continent,,
b2052cd0-bbad-4881-8c1e-b85423f7835a,Εὐρώπης,char-offset:1217,PLACE,http://pleiades.stoa.org/places/536074,Europe,,,unlocated,VERIFIED,concept|continent,,
3d2dfad5-0d66-448f-a6f9-1ac53c9938d4,Φᾶσιν,char-offset:1240,PLACE,http://pleiades.stoa.org/places/874645,Phasis fl.,39.5,41.5,river,VERIFIED,natural feature|water mass|river,,
6f912ab7-8007-431f-a768-0e89376d7228,"τὸν
ἕως Κασπίας ἰσθμόν",char-offset:1258,EVENT,,,,,,,extent,relative,
091a4459-6922-40f5-a28e-d41244af3bc7,"τὸν
ἕως Κασπίας ἰσθμόν",char-offset:1258,PLACE,,,,,,UNVERIFIED,natural feature|isthmus,,
f39ce831-1c0e-47f9-80da-8d643c4c1e35,Κασπίας,char-offset:1266,PLACE,http://pleiades.stoa.org/places/884130,Caspium/Hyrcanium Mare,42.6759567125,49.98680535,"lake,water-open",VERIFIED,natural feature|water mass|sea,,
0a71971c-cb7f-4665-8fec-d7ef1437f4f2,Μαιῶτιν,char-offset:1305,PLACE,http://pleiades.stoa.org/places/825318,Maeotis,45.814417000000006,35.862586,water-open,VERIFIED,natural feature|water mass|lake,,
729353ab-30d8-43d1-8616-b08ddc5f2a02,Μαιῶτιν λίμνην,char-offset:1305,PLACE,,,,,,UNVERIFIED,,,
