Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
"εἰς Σαρδὼ καὶ Κύρνον Ποπουλώνιον τῆς Τυρσηνίας, τὸ δὲ δίαρμα σταδίων ˏασ",ADP εἰς + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
δίαρμα δ’ ἔχει ἀπὸ Πελώρου ἄκρου εἰς Ἰταλίαν σταδίων ιβ πορθμῷ,VB ἔχειν + ADP ἀπό + ADP εἰς + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
πλευρὰ νήσου ἀπὸ Πελώρου εἰς Πάχυνον στάδια ˏατξ,ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
"ἀπὸ Παχύνου
εἰς Λιλύβαιον στάδια ˏαχ",ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
ἀπὸ Λιλυβαίου εἰς Πελωριάδα στάδια ˏαφ,ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
"ἀπὸ Λιλυβαίου διάπλους εἰς Ἀσπίδα τῆς Λιβύης
ἐγγὺς στάδια ˏαφ",ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,distance,absolute
"ἀπὸ Κερκίνης ἐπὶ νῆσον Μήνιγγα τὴν Λωτοφαγῖτιν ὁ
διάπλους στάδια χ",ADP ἀπό + ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.22,5.22,distance,absolute
μῆκος δὲ ἀπὸ Μαλέας ἕως Αἰγίου στάδια ˏαυ,ADP ἀπό + ADP ἕως + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.24,5.24,distance,absolute
ἀπὸ  Ταινάρου ἐπὶ Φυκοῦντα Λιβύης τὸ δίαρμα στάδια ˏγ,ADP ἀπό + ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.24,5.24,distance,absolute
"ἀπὸ
Πάφου εἰς Ἀλεξάνδρειαν δίαρμα (βορέου) σταδίων ˏγω",ADP ἀπό + ADP εἰς + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.26,5.26,distance,absolute
ἔστι δὲ ἡ μεγάλη Σύρτις σταδίων ˏε,VB εἶναι + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.8,3.8,extent,absolute
ἡ δὲ μικρὰ σταδίων ˏαχ,[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.8,3.8,extent,absolute
"ὁ τῆς Εὐρώπης παράπλους ἀπὸ Τανάιδος ποταμοῦ
ἐκβολῶν ἕως Ἡρακλείων στηλῶν σταδίων μυριάδων ἓξ καὶ ˏθψθ",ADP ἀπό + SBJ + ADP ἕως + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
"τῆς δὲ Λιβύης ἀπὸ Τιγγὸς ἕως στόματος Κανωβικοῦ σταδίων μυριάδων
δύο καὶ ˏθσνβ",ADP ἀπό + SBJ + ADP ἕως + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
"τῆς δ’ Ἀσίας ἀπὸ Κανώβου ἕως Τανάιδος ποταμοῦ (μετά
τῶν κόλπων) ὁ παράπλους σταδίων μυριάδων δ καὶ ρια",ADP ἀπό + SBJ + ADP ἕως + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
"παράλιος
(σῦν κόλποις) τῆς καθ’ ἡμᾶς οἰκουμένης σταδίων μυριάδων ιγ καὶ, ˏθοβ",[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
"τῆς Μαιώτιδος λίμνης, ἧς περίμετρος  σταδίων ˏθ",[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
τὸ δὲ στόμα ὁ Κιμμέριος Βόσπορος σταδίων κ,[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.10,3.10,extent,absolute
"ὁ δὲ Πόντος
σταδίων ˏγτν",[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.11,3.11,extent,absolute
"ὁ δὲ Θράκιος Βόσπορος τὰ στενὰ (ὅπῃ Δαρεῖος ἔζευξεν
ἐπὶ Σκύθας τὴν σχεδίαν) σταδίων ἕξ",[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.11,3.11,extent,absolute
"Ἡ δὲ Περσικὴ θάλασσα
(κυκλοτερὴς οὖσα συνάγουσα τὸ στόμα ἄκρῳ Καρμανίας καὶ Ἀραβίας)
περίμετρον ἔχει μυριάδων δύο σταδίων",VB ἔχειν + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.12,3.12,extent,absolute
"ἔστι δὲ τὸ (μεταξὺ στόμα
Ἀραβίας καὶ Καρμανίας) σταδίων υ. 
",VB εἶναι + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.12,3.12,extent,absolute
"Ἡ δὲ Ὑρκανία (ἤτοι
Κασπία θάλασσα μηνοειδὴς οὖσα, κατὰ δέ τινας καὶ προμήκης,) ἐστὶ
σταδίων δισμυρίων",VB εἶναι + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.13,3.13,extent,absolute
"τοῦ δὲ στόματος ἔχει τὸ δίαρμα
σταδίους  ˏα.",VB ἔχειν + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.13,3.13,extent,absolute
"Ὁ δὲ Ἀράβιος κόλπος (στενὸς ὢν καὶ προμήκης)
ἄρχεται ἀπὸ Ἡρώων πολίτου μυχοῦ (παρὰ τὴν Τρωγλοδυτικὴν) ἕως τῆς
Πτολεμαΐδος τῆς ἐπὶ θήρας σταδίων ˏθ τὸ μῆκος",VB ἄρχειν + ADP ἀπό + ADP ἕως + GEN.mes. + ACC.resp.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.14,3.14,extent,absolute
"μεμήκυται ἐπὶ
σταδίων μυρίων δισχιλίων",VB + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.14,3.14,extent,absolute
"Μῆκος δὲ τῆς οἰκουμένης ἀπὸ Γάγγου εἰς τὰ Γάδειρα σταδίων
 μυριάδων ϛ καὶ ˏηφμε",[VB εἶναι] + ADP ἀπό + ADP εἰς + GEN.mes. + ACC.resp.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.15,4.15,extent,absolute
"ἀπὸ μὲν Γάγγου ποταμοῦ ἕως
Μυριάνδρου (τῆς ἐν Ἰσσικῷ κόλπῳ) σταδίων μυριάδων τεσσάρων καὶ
v χιλίων ψκε",[VB εἶναι] + ADP ἀπό + ADP ἕως + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.15,4.15,extent,absolute
