,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:phi.555.54@Φοίνικες[1]-phi.555.55@οντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
urn:cite:excerpta:K:a.5,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:omega.577.47@Ὠκεανός[1]-omega.577.48@κύκλῳ[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg4099.tlg001:821.19-821.20,urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,Etymologicum Magnum,
urn:cite:excerpta:K:c.1,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus96:vita@τίνες[1]-vita@οὐροειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
urn:cite:excerpta:K:c.2,urn:cts:greekLit:tlg4083.tlg006:epist.232@Ἦ[1]-epist.240,urn:cts:greekLit:tlg0090.tlg001:1.1,,,"(Eustathius Thessalonicensis, Comm. In Periegesin)",
urn:cite:excerpta:K:c.3,urn:cts:greekLit:tlg4083.tlg006:1.35@Τοιαύτη[1]-1.36@δοκεῖ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ποσειδώνιος[1]-1.1@Ἰνδικήν[1],,,,
urn:cite:excerpta:K:c.4,urn:cts:greekLit:tlg4083:tlg001:2.496.16@καί[1]-2.496.17,urn:cts:greekLit:tlg0090.tlg001:1.2,,,"(Eustathius Thessalonicensis, Comm. In Iliadem)",
